0x13a,"['.\\GitHubScraping\\0x13a\\bitcoin-trading-dca\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\iotaledger\\iota.lib.go\\all_contributors\\contributors_page_1.json']" 
bizgi,['.\\GitHubScraping\\bizgi\\CryptoCurrency\\all_contributors\\contributors_page_1.json']
blbradley,['.\\GitHubScraping\\blbradley\\kafka-cryptocoin\\all_contributors\\contributors_page_1.json']
acityinohio,['.\\GitHubScraping\\blockcypher\\gobcy\\all_contributors\\contributors_page_1.json']
nkmlombardi,['.\\GitHubScraping\\blockstreet\\content\\all_contributors\\contributors_page_1.json']
Suhmedoh,['.\\GitHubScraping\\blockstreet\\content\\all_contributors\\contributors_page_1.json']
kmanc,['.\\GitHubScraping\\blockstreet\\content\\all_contributors\\contributors_page_1.json']
mattbloom,['.\\GitHubScraping\\blockstreet\\content\\all_contributors\\contributors_page_1.json']
michpalmerdesign,['.\\GitHubScraping\\blockstreet\\content\\all_contributors\\contributors_page_1.json']
jaydeluca,['.\\GitHubScraping\\blockstreet\\content\\all_contributors\\contributors_page_1.json']
airenainc,['.\\GitHubScraping\\blockstreet\\content\\all_contributors\\contributors_page_1.json']
bloomark,['.\\GitHubScraping\\bloomark\\f13x\\all_contributors\\contributors_page_1.json']
akhilum,['.\\GitHubScraping\\bloomark\\f13x\\all_contributors\\contributors_page_1.json']
bmoscon,['.\\GitHubScraping\\bmoscon\\cryptofeed\\all_contributors\\contributors_page_1.json']
MarechJ,['.\\GitHubScraping\\bmoscon\\cryptofeed\\all_contributors\\contributors_page_1.json']
jvirtanen,['.\\GitHubScraping\\bmoscon\\cryptofeed\\all_contributors\\contributors_page_1.json']
bonesoul,"['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\MPOS\\php-mpos\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\zone117x\\node-open-mining-portal\\all_contributors\\contributors_page_1.json']"
sovereignshare,['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json']
computeronix,"['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\suda\\dashing-mining-dashboard\\all_contributors\\contributors_page_1.json']"
ahmedbodi,"['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\MPOS\\php-mpos\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\vergecurrency\\VERGE\\all_contributors\\contributors_page_1.json']"
Caberhagen,"['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\MPOS\\php-mpos\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\zone117x\\node-open-mining-portal\\all_contributors\\contributors_page_1.json']"
a432511,['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json']
patricbr,['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json']
CavityGap,['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json']
adenner,['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json']
TrAnn3l,['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json']
felixonmars,['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json']
daygle,"['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\MPOS\\php-mpos\\all_contributors\\contributors_page_1.json']"
daliwangi,['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json']
gamers-coin,['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json']
nuggetbram,['.\\GitHubScraping\\bonesoul\\CoiniumServ\\all_contributors\\contributors_page_1.json']
borlak,['.\\GitHubScraping\\borlak\\cryptocoin_scrypt_stratum\\all_contributors\\contributors_page_1.json']
borzenkovdev,['.\\GitHubScraping\\borzenkovdev\\cryptocurrency\\all_contributors\\contributors_page_1.json']
bousoutennshi,['.\\GitHubScraping\\bousoutennshi\\cryptocurrency\\all_contributors\\contributors_page_1.json']
bradjasper,['.\\GitHubScraping\\bradjasper\\CryptocurrencySpreadsheetUtils\\all_contributors\\contributors_page_1.json']
jeromedalbert,['.\\GitHubScraping\\bradjasper\\CryptocurrencySpreadsheetUtils\\all_contributors\\contributors_page_1.json']
Mwisho,['.\\GitHubScraping\\bradjasper\\CryptocurrencySpreadsheetUtils\\all_contributors\\contributors_page_1.json']
florinserbu2,['.\\GitHubScraping\\bradjasper\\CryptocurrencySpreadsheetUtils\\all_contributors\\contributors_page_1.json']
bradoyler,['.\\GitHubScraping\\bradoyler\\xmr-miner\\all_contributors\\contributors_page_1.json']
brentkozjak,['.\\GitHubScraping\\brentkozjak\\cryptocurrency\\all_contributors\\contributors_page_1.json']
brentrealbt,['.\\GitHubScraping\\brentrealbt\\cryptocurrency\\all_contributors\\contributors_page_1.json']
brightcoindeveloper,['.\\GitHubScraping\\brightcoindeveloper\\brtcoin\\all_contributors\\contributors_page_1.json']
brndnmtthws,"['.\\GitHubScraping\\brndnmtthws\\hodlermanifesto\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\brndnmtthws\\optimal-buy-gdax\\all_contributors\\contributors_page_1.json']"
vedovelli,['.\\GitHubScraping\\brndnmtthws\\hodlermanifesto\\all_contributors\\contributors_page_1.json']
wec999,['.\\GitHubScraping\\brndnmtthws\\hodlermanifesto\\all_contributors\\contributors_page_1.json']
hazelnusse,['.\\GitHubScraping\\brndnmtthws\\optimal-buy-gdax\\all_contributors\\contributors_page_1.json']
jakubka,['.\\GitHubScraping\\brndnmtthws\\optimal-buy-gdax\\all_contributors\\contributors_page_1.json']
JustinPercy,['.\\GitHubScraping\\BTA-BATA\\BATA-SOURCE\\all_contributors\\contributors_page_1.json']
midnight-miner,['.\\GitHubScraping\\BTA-BATA\\BATA-SOURCE\\all_contributors\\contributors_page_1.json']
BTA-BATA,['.\\GitHubScraping\\BTA-BATA\\BATA-SOURCE\\all_contributors\\contributors_page_1.json']
justinvforvendetta,"['.\\GitHubScraping\\BTA-BATA\\BATA-SOURCE\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\Reecoin\\Reecoin-Project\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\vergecurrency\\VERGE\\all_contributors\\contributors_page_1.json']"
bugaiov,['.\\GitHubScraping\\bugaiov\\cap\\all_contributors\\contributors_page_1.json']
buildog,['.\\GitHubScraping\\buildog\\BarterDEX\\all_contributors\\contributors_page_1.json']
Kiruel,['.\\GitHubScraping\\buildog\\BarterDEX\\all_contributors\\contributors_page_1.json']
zack-bitcoin,"['.\\GitHubScraping\\BumblebeeBat\\PinkFairy\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\halilozercan\\halocoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\zack-bitcoin\\CryptGo\\all_contributors\\contributors_page_1.json']"
bwentzloff,['.\\GitHubScraping\\bwentzloff\\trading-bot\\all_contributors\\contributors_page_1.json']
awratten,['.\\GitHubScraping\\bwentzloff\\trading-bot\\all_contributors\\contributors_page_1.json']
Kenfrost1987,['.\\GitHubScraping\\bwentzloff\\trading-bot\\all_contributors\\contributors_page_1.json']
Byakatonda211,['.\\GitHubScraping\\Byakatonda211\\dwcoin\\all_contributors\\contributors_page_1.json']
gd-estrepetov,['.\\GitHubScraping\\calmarj\\CryptoCurrency\\all_contributors\\contributors_page_1.json']
campbell88,['.\\GitHubScraping\\campbell88\\cryptocurrency\\all_contributors\\contributors_page_1.json']
CanadianRepublican,['.\\GitHubScraping\\CanadianRepublican\\monero-universal-pool\\all_contributors\\contributors_page_1.json']
LoyalNine1487,['.\\GitHubScraping\\CanadianRepublican\\monero-universal-pool\\all_contributors\\contributors_page_1.json']
carlosarceleon,['.\\GitHubScraping\\carlosarceleon\\cryptocurrency\\all_contributors\\contributors_page_1.json']
carsenk,"['.\\GitHubScraping\\carsenk\\denarius\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\laejub06\\torcoin\\all_contributors\\contributors_page_1.json']"
enkayz,['.\\GitHubScraping\\carsenk\\denarius\\all_contributors\\contributors_page_1.json']
escherba,['.\\GitHubScraping\\carsenk\\denarius\\all_contributors\\contributors_page_1.json']
bumbacoin,"['.\\GitHubScraping\\carsenk\\denarius\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\deeponion\\deeponion\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\SBDomains\\unify-source\\all_contributors\\contributors_page_1.json']"
exmac,['.\\GitHubScraping\\carsenk\\denarius\\all_contributors\\contributors_page_1.json']
caspt,['.\\GitHubScraping\\caspt\\crypto\\all_contributors\\contributors_page_1.json']
cazala,"['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\cazala\\coin-hive-proxy\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\cazala\\coin-hive-stratum\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\cazala\\react-coin-hive\\all_contributors\\contributors_page_1.json']"
soyuka,['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json']
tmteamz,['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json']
wmcmurray,['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json']
sputn1k,['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json']
forever1306,['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json']
pRizz,"['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\clemahieu\\raiblocks\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\pRizz\\iota-transaction-spammer-webapp\\all_contributors\\contributors_page_1.json']"
ifvictr,['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json']
lacivert,['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json']
sunk818,"['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\MPOS\\php-mpos\\all_contributors\\contributors_page_1.json']"
tailot,['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json']
tejanous,['.\\GitHubScraping\\cazala\\coin-hive\\all_contributors\\contributors_page_1.json']
ridsevilla,['.\\GitHubScraping\\cazala\\coin-hive-proxy\\all_contributors\\contributors_page_1.json']
korzhyk,['.\\GitHubScraping\\cazala\\coin-hive-stratum\\all_contributors\\contributors_page_1.json']
thisjrodriguez,['.\\GitHubScraping\\cazala\\coin-hive-stratum\\all_contributors\\contributors_page_1.json']
slayerulan,['.\\GitHubScraping\\cazala\\coin-hive-stratum\\all_contributors\\contributors_page_1.json']
ale-batt,"['.\\GitHubScraping\\cazala\\coin-hive-stratum\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\JasonShin\\vue-coin-hive\\all_contributors\\contributors_page_1.json']"
dragma,['.\\GitHubScraping\\cazala\\react-coin-hive\\all_contributors\\contributors_page_1.json']
SkinyMonkey,['.\\GitHubScraping\\cazala\\react-coin-hive\\all_contributors\\contributors_page_1.json']
cbatson,['.\\GitHubScraping\\cbatson\\hxBitcoin\\all_contributors\\contributors_page_1.json']
kroitor,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
mkutny,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
xpl,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
kornrunner,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
Deathamns,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
thijstriemstra,"['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\lightningnetwork\\lnd\\all_contributors\\contributors_page_1.json']"
illera88,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
samholt,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
adi90x,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
cleivson,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
frosty00,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
michnovka,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
gschmuck,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
cogat,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
wannesdemaeght,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
quorak,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
Cengkaruk,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
tritoanst,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
munrocket,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
nmiculinic,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
dhingra,"['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\DeviaVir\\zenbot\\all_contributors\\contributors_page_1.json']"
jla415,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
Nilotaviano,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
tankakatan,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
hippylover,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
taish,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
pmizel,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
fredfortier,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
orkenstein,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
Coac,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
beniloew,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
LeonLegion,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
michaeldim,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
devcon14,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
vondra,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
jjhesk,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
basnijholt,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
Bomper,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
channprj,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
DanielMartini,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
gnmerritt,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
nazariyv,"['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\jhogan4288\\coinmarketcap-history\\all_contributors\\contributors_page_1.json']"
s-coimbra21,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
WilhelmErasmus,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
redindian,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
rthomas6,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
remon-georgy,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
robertohuertasm,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
rubobaquero,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
darthf1,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
dickenwong,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
kesali,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
Itshgo,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
katonsa,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
marcelrv,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
materemias,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
mellertson,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
rajeshdalsaniya,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
rGhabriel,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
sejeng,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
ShaunR,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
siedi,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
toooni,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
procmail,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
jumpmanjay,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
liorsham,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
luchevoi,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
tandazhi,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
aking7,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
prisis,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
selaromi,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
neuhaus,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
vonpupp,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
ajsharp,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
andersea,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
andheiberg,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
aostrun,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
buddylindsey,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
thornycrackers,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
danmaz74,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
Deusing,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
dogagenc,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
donaldinho,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
gre,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
gbourne1,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
bugking,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
JACKY-CK,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_1.json']
rxmg-joeldg,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
marcvdm,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
MedAymenF,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
miriti,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
arrilot,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
ohld,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
Pmant,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
Primly,"['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\manu354\\cryptocurrency-arbitrage\\all_contributors\\contributors_page_1.json']"
ronenteva,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
rosario,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
RuudBurger,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
xeno14,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
namns1412,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
thbach,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
tim-cools,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
lacabra,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
amaroks,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
bhb81,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
darthinvader,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
dmitriz,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
fab-ioc,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
isimic95,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
janeCMD,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
86chenjie,"['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\ctubio\\Krypto-trading-bot\\all_contributors\\contributors_page_1.json']"
jestersimpps,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
jgordor,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
mallchin,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
KeKs0r,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
MSalopek,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
allbinmani,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
takechanman1228,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
tvv,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
walkjivefly,"['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\walkjivefly\\LOC-Extension\\all_contributors\\contributors_page_1.json']"
xgdgsc,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
zsyh,['.\\GitHubScraping\\ccxt\\ccxt\\all_contributors\\contributors_page_2.json']
pooler,"['.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\lucasjones\\cpuminer-multi\\all_contributors\\contributors_page_1.json']"
Greedi,"['.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_1.json']"
celebritycoin,"['.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_1.json']"
shanew,"['.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\cryptohelper\\premine\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\OfficialTitcoin\\titcoin-wallet\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\qtumproject\\qtum\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\sjmackenzie\\i0coin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_4.json']"
vleschuk,"['.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\cryptohelper\\premine\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\OfficialTitcoin\\titcoin-wallet\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\sjmackenzie\\i0coin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_4.json']"
blackymetal,"['.\\GitHubScraping\\celebritycoin\\CelebrityCoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\celebritycoin\\investorcoin\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\cryptohelper\\premine\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\FeatherCoin\\Feathercoin\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\guncoin\\guncoin\\all_contributors\\contributors_page_5.json', '.\\GitHubScraping\\lbryio\\lbrycrd\\all_contributors\\contributors_page_4.json', '.\\GitHubScraping\\OfficialTitcoin\\titcoin-wallet\\all_contributors\\contributors_page_2.json', '.\\GitHubScraping\\sjmackenzie\\i0coin\\all_contributors\\contributors_page_1.json', '.\\GitHubScraping\\terracoin\\terracoin\\all_contributors\\contributors_page_4.json']"
